"","ybar","theta_hat"
"",87.625,87.6234073863641
"Aglianico del Vulture",87.7647058823529,87.7626429459447
"Alto Adige",87.430303030303,87.4302925104155
"Alto Adige Valle Isarco",87.7142857142857,87.7116077874814
"Asolo Prosecco Superiore",87.1111111111111,87.1084602734066
"Asti",84.6666666666667,84.6706097102741
"Barbera d'Alba",87.0512820512821,87.050853732898
"Barbera d'Alba Superiore",86.5,86.497728684987
"Barbera d'Asti",87.1016949152542,87.1012168925032
"Barbera d'Asti Superiore",87.2962962962963,87.295573025549
"Bardolino",87.3,87.2981139559036
"Bardolino Chiaretto",86.5833333333333,86.5843612950507
"Bardolino Classico",86.6,86.6004439463438
"Basilicata",85.625,85.6249586557009
"Beneventano",86.5,86.4992746977203
"Bolgheri",87.3636363636364,87.3625484953828
"Campania",86.1739130434783,86.1733801937344
"Campi Flegrei",87.6666666666667,87.6646040236747
"Cannonau di Sardegna",87.1428571428571,87.1425879143952
"Carignano del Sulcis",88,87.996033340289
"Carmignano",87.7142857142857,87.7109431195479
"Castel del Monte",86.5294117647059,86.5300647276582
"Cerasuolo di Vittoria",87,86.9989293747507
"Cerasuolo di Vittoria Classico",88.6666666666667,88.6588402810134
"Cesanese del Piglio",87.6,87.5963221270741
"Chianti",85.847619047619,85.8480993741558
"Chianti Classico",86.956043956044,86.9559705766194
"Chianti Colli Fiorentini",85.8,85.802481501635
"Chianti Colli Senesi",86.5,86.4994085110332
"Chianti Montalbano",87.2,87.1973969450121
"Chianti Rufina",87.48,87.4801145259957
"Chianti Superiore",86.2727272727273,86.2727376604704
"Cirò",86.7142857142857,86.7148664897234
"Colli Aprutini",85,85.0043911169984
"Colli Orientali del Friuli",86.2769230769231,86.2768393856697
"Colline Novaresi",86.8571428571429,86.8576707411586
"Colline Pescaresi",86.4,86.3992143519049
"Collio",87.2391304347826,87.2388745781609
"Conegliano Valdobbiadene Prosecco Superiore",86.8174603174603,86.8169569410151
"Cortona",86.3333333333333,86.3335940792174
"Delle Venezie",85.3483146067416,85.3486283297964
"Dogliani",87.8,87.7972963138922
"Dolcetto d'Alba",86.3469387755102,86.3470608159275
"Emilia",84,84.0057933864669
"Emilia-Romagna",86.4,86.399158764413
"Etna",88.1363636363636,88.1352960891127
"Falanghina del Sannio",87.8,87.796658288722
"Falerio",86,86.0017442858843
"Fiano di Avellino",87.8461538461538,87.8449624638199
"Frascati Superiore",85.6666666666667,85.6682395671302
"Friuli",85.8,85.804436627346
"Friuli Aquileia",86.25,86.2510763357957
"Friuli Colli Orientali",86.7368421052632,86.7375542222721
"Friuli Grave",85.8524590163934,85.8528916141076
"Gavi",86.56,86.5610006222938
"Greco di Tufo",88.2666666666667,88.2635099054802
"Irpinia",87.2941176470588,87.2922089108379
"Isola dei Nuraghi",87.8,87.7978358625431
"Isonzo del Friuli",85.6,85.6017611377986
"Italy",84.5294117647059,84.532315224067
"Lacryma Christi del Vesuvio",85.7142857142857,85.7155488637383
"Lambrusco dell'Emilia",84.8,84.8065044324088
"Lambrusco di Sorbara",87.5555555555556,87.5547847530708
"Lambrusco Grasparossa di Castelvetro",85.7619047619048,85.7635346711489
"Langhe",86.1052631578947,86.1053468499417
"Lazio",85.4615384615385,85.4630322169899
"Lugana",88.32,88.3192795998915
"Marche",85.5,85.5009308837922
"Maremma",86.8620689655172,86.8628695597845
"Maremma Toscana",87.7586206896552,87.7583667439655
"Molise",87.1428571428571,87.1405975839135
"Monferrato",86.2222222222222,86.2226949025568
"Monica di Sardegna",86.8,86.8004634461598
"Montecucco",85.9,85.900457921207
"Montefalco Rosso",87.375,87.3740388688064
"Montepulciano d'Abruzzo",85.8139534883721,85.8144052920218
"Morellino di Scansano",87.041095890411,87.0411084739723
"Moscato d'Asti",86.5454545454545,86.5457704869859
"Nebbiolo d'Alba",87.6363636363636,87.6340841695234
"Offida Pecorino",88,87.9976627421285
"Orvieto",86.3636363636364,86.3634210240462
"Orvieto Classico",85.5,85.5005261481449
"Orvieto Classico Superiore",86.75,86.7490335849149
"Piave",85.5161290322581,85.5158143968117
"Piedmont",84.5925925925926,84.5934180190231
"Primitivo di Manduria",87.4666666666667,87.4657389989611
"Prosecco",85.5042735042735,85.5042831934533
"Prosecco del Veneto",85.448275862069,85.449749444809
"Prosecco di Conegliano",85.9166666666667,85.9176303940426
"Prosecco di Conegliano e Valdobbiadene",85.9230769230769,85.9235697448887
"Prosecco di Valdobbiadene",86.6078431372549,86.6080849366477
"Prosecco Treviso",86.3529411764706,86.352836856632
"Puglia",85.8904109589041,85.891029514097
"Roero",87.2692307692308,87.2681031240466
"Romagna",87.28125,87.2809412847893
"Rosso Conero",86.4615384615385,86.46181323388
"Rosso del Veronese",86.8,86.8002651372903
"Rosso di Montalcino",87.7058823529412,87.7057652615548
"Rosso di Montepulciano",87.1408450704225,87.1405346348044
"Rosso Piceno",86,86.0004114040795
"Rosso Piceno Superiore",85.8571428571429,85.8591531064967
"Salento",86.1485148514851,86.1484431632537
"Salice Salentino",86.8857142857143,86.8858020917392
"Sangiovese di Romagna Superiore",85.8,85.8020891528474
"Sannio",86.25,86.2506800937039
"Sicilia",86.4688995215311,86.4690700074536
"Soave",86.3823529411765,86.3822415508021
"Soave Classico",87.2747252747253,87.2750227963807
"Soave Classico Superiore",88,87.9977932397388
"Taburno",85.5454545454545,85.5466154091961
"Terra degli Osci",86,86.0018154902729
"Terre di Chieti",85.55,85.5509143975596
"Terre Siciliane",86.4690265486726,86.4691388895911
"Toscana",86.7086956521739,86.70847837218
"Trebbiano d'Abruzzo",85.6470588235294,85.6473843315892
"Trentino",86.4487179487179,86.448469932097
"Trento",88.9230769230769,88.9174424729239
"Umbria",86.6326530612245,86.6324024455431
"Valdadige",85.7777777777778,85.7810291903472
"Valdobbiadene Prosecco Superiore",88.2121212121212,88.2117432597786
"Valpolicella",85.3636363636364,85.3652115148823
"Valpolicella Classico",84.6388888888889,84.6394978373271
"Valpolicella Classico Superiore",86.2307692307692,86.2317743565901
"Valpolicella Classico Superiore Ripasso",87.3921568627451,87.3917540132234
"Valpolicella Ripasso",86.6666666666667,86.6655179735301
"Valpolicella Superiore",85.8888888888889,85.8902703851371
"Valpolicella Superiore Ripasso",86.5833333333333,86.5827385762007
"Veneto",84.9268292682927,84.9272896731506
"Venezia",85.1666666666667,85.1690384814606
"Venezia Giulia",86.125,86.1267538670395
"Venezie",84.9090909090909,84.9119556110701
"Verdicchio dei Castelli di Jesi",86.125,86.1261624389957
"Verdicchio dei Castelli di Jesi Classico",86.3076923076923,86.3075356423137
"Verdicchio dei Castelli di Jesi Classico Superiore",87.7777777777778,87.7773987134911
"Verdicchio di Matelica",88.7777777777778,88.7737417468209
"Vermentino di Gallura",88.5714285714286,88.5672597478837
"Vermentino di Sardegna",87.4444444444444,87.4431589895752
"Vernaccia di San Gimignano",87.2098765432099,87.209434091216
"Veronese",87,87.0011988017021
"Vigneti delle Dolomiti",86.8157894736842,86.8163490620436
"Vino Nobile di Montepulciano",87.7777777777778,87.7757905582055
"Vino Spumante",86.4285714285714,86.4296276949448
"Vittoria",88.2857142857143,88.2823295617288
