"","ybar","theta_hat"
"",87.625,87.6234073863641
"Aglianico del Vulture",87.7647058823529,87.7626429459447
"Alto Adige",87.430303030303,87.4302925104155
"Alto Adige Valle Isarco",87.7142857142857,87.7116077874814
"Asolo Prosecco Superiore",87.1111111111111,87.1084602734066
"Barbera d'Alba",87.0512820512821,87.050853732898
"Barbera d'Asti",87.1016949152542,87.1012168925032
"Barbera d'Asti Superiore",87.2962962962963,87.295573025549
"Bardolino",87.3,87.2981139559036
"Bolgheri",87.3636363636364,87.3625484953828
"Campi Flegrei",87.6666666666667,87.6646040236747
"Cannonau di Sardegna",87.1428571428571,87.1425879143952
"Carignano del Sulcis",88,87.996033340289
"Carmignano",87.7142857142857,87.7109431195479
"Cerasuolo di Vittoria",87,86.9989293747507
"Cerasuolo di Vittoria Classico",88.6666666666667,88.6588402810134
"Cesanese del Piglio",87.6,87.5963221270741
"Chianti Classico",86.956043956044,86.9559705766194
"Chianti Montalbano",87.2,87.1973969450121
"Chianti Rufina",87.48,87.4801145259957
"Cirò",86.7142857142857,86.7148664897234
"Colline Novaresi",86.8571428571429,86.8576707411586
"Collio",87.2391304347826,87.2388745781609
"Conegliano Valdobbiadene Prosecco Superiore",86.8174603174603,86.8169569410151
"Dogliani",87.8,87.7972963138922
"Etna",88.1363636363636,88.1352960891127
"Falanghina del Sannio",87.8,87.796658288722
"Fiano di Avellino",87.8461538461538,87.8449624638199
"Friuli Colli Orientali",86.7368421052632,86.7375542222721
"Greco di Tufo",88.2666666666667,88.2635099054802
"Irpinia",87.2941176470588,87.2922089108379
"Isola dei Nuraghi",87.8,87.7978358625431
"Lambrusco di Sorbara",87.5555555555556,87.5547847530708
"Lugana",88.32,88.3192795998915
"Maremma",86.8620689655172,86.8628695597845
"Maremma Toscana",87.7586206896552,87.7583667439655
"Molise",87.1428571428571,87.1405975839135
"Monica di Sardegna",86.8,86.8004634461598
"Montefalco Rosso",87.375,87.3740388688064
"Morellino di Scansano",87.041095890411,87.0411084739723
"Nebbiolo d'Alba",87.6363636363636,87.6340841695234
"Offida Pecorino",88,87.9976627421285
"Orvieto Classico Superiore",86.75,86.7490335849149
"Primitivo di Manduria",87.4666666666667,87.4657389989611
"Roero",87.2692307692308,87.2681031240466
"Romagna",87.28125,87.2809412847893
"Rosso del Veronese",86.8,86.8002651372903
"Rosso di Montalcino",87.7058823529412,87.7057652615548
"Rosso di Montepulciano",87.1408450704225,87.1405346348044
"Salice Salentino",86.8857142857143,86.8858020917392
"Soave Classico",87.2747252747253,87.2750227963807
"Soave Classico Superiore",88,87.9977932397388
"Toscana",86.7086956521739,86.70847837218
"Trento",88.9230769230769,88.9174424729239
"Umbria",86.6326530612245,86.6324024455431
"Valdobbiadene Prosecco Superiore",88.2121212121212,88.2117432597786
"Valpolicella Classico Superiore Ripasso",87.3921568627451,87.3917540132234
"Valpolicella Ripasso",86.6666666666667,86.6655179735301
"Verdicchio dei Castelli di Jesi Classico Superiore",87.7777777777778,87.7773987134911
"Verdicchio di Matelica",88.7777777777778,88.7737417468209
"Vermentino di Gallura",88.5714285714286,88.5672597478837
"Vermentino di Sardegna",87.4444444444444,87.4431589895752
"Vernaccia di San Gimignano",87.2098765432099,87.209434091216
"Veronese",87,87.0011988017021
"Vigneti delle Dolomiti",86.8157894736842,86.8163490620436
"Vino Nobile di Montepulciano",87.7777777777778,87.7757905582055
"Vittoria",88.2857142857143,88.2823295617288
